what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139206827
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139207093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139207255
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139207980
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139212853
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139218820
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139218835
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139219109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139219280
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139219996
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139232821
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139232926
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139234995
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139235000
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139235152
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139237174
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139237278
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139239758
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139239862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139240955
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139242516
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139291873
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139315582
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139324472
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139326487
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139326500
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139326785
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139326954
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139327672
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139332639
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1425139361711
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1425139361806
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425139363063
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139406387
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139406401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139406504
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139412338
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139414199
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139415080
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139415080
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139415184
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1425139422538
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425139424775
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425139424819
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1425139424915
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425139427927
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425139432084
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425139435554
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425139441923
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1425139447526
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1425139447530
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1425139457482
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425139482656
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425139491690
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425139498993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425139501296
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425139521650
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425139526932
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425139529501
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425139537260
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139545958
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139545969
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139546233
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139546394
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139547073
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139551499
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139558280
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139558293
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139558555
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139558702
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139559493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139566569
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139574473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139676203
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139684194
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139684205
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139684467
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139684631
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425139685403
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139700758
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425139703879
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425140213959
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425140215314
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425140225349
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425140252347
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425140254066
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425140264520
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425140264532
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425140264586
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425140264822
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425140265702
