what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1425660053599
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1425660053600
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1425660053600
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1425660053600
os,sysinfo,,,"macosx",1425660053602
arch,sysinfo,,,"x86",1425660053602
ws,sysinfo,,,"cocoa",1425660053602
locale,sysinfo,,,"en_US",1425660053602
processors,sysinfo,,,"4",1425660053602
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1425660053602
java.runtime.version,sysinfo,,,"1.6.0_65-b14-466.1-11M4716",1425660053602
java.specification.name,sysinfo,,,"Java Platform API Specification",1425660053602
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1425660053602
java.specification.version,sysinfo,,,"1.6",1425660053602
java.vendor,sysinfo,,,"Apple Inc.",1425660053602
java.version,sysinfo,,,"1.6.0_65",1425660053602
java.vm.info,sysinfo,,,"mixed mode",1425660053602
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1425660053602
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1425660053602
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1425660053602
java.vm.specification.version,sysinfo,,,"1.0",1425660053602
java.vm.vendor,sysinfo,,,"Apple Inc.",1425660053602
java.vm.version,sysinfo,,,"20.65-b04-466.1",1425660053602
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425660053686
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425660055918
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425660056746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425660060388
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425660061065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425660061259
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425660061699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425660069780
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425660078079
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425660093271
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425660093293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425660177571
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425660183099
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425660190209
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425660190262
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425660190544
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425660190714
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425660191412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425660219948
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1425660224667
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425660227021
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425660229029
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425660229046
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425660229330
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425660229501
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425660230205
