what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425140925810
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425140937962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425140938005
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425140938066
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425140939150
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425140941627
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425140941731
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425140943460
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425140943564
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425140943844
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425140945744
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141212478
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141221841
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141228348
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141250779
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141250789
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141251080
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141251252
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141251892
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141258749
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141273041
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141273055
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141273313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141273479
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141274222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141290219
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141307910
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141307923
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141308214
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141308379
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141309135
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141325208
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141325314
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141325580
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1425141330279
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425141335601
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141342510
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141342521
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141342804
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141342980
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141343675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141355787
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1425141380602
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141382306
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141382318
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141382478
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141384667
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1425141392549
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141394426
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141394438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141394633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141396596
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141405820
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141405832
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141406116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141406295
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141406969
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141415681
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141415788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141416055
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1425141425029
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141426610
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141426623
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141426905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141427108
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141427776
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141440284
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141532887
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141532899
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141533162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141533329
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141534052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141543999
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141569732
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141569743
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141570022
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141570170
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141570898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141581693
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425141650956
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425141655383
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141660170
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141660181
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141660445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141660615
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141661303
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141670856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141753434
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425141753537
error,log,,,"Unhandled event loop exception",1425141753654
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425141759612
