what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994161778
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994172180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994174749
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994199047
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994226474
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994226485
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424994226487
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994226664
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994232321
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994232425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994232848
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994233397
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994233503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994233612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994260313
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1424994387077
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1424994390377
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1424994392363
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1424994392753
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1424994393228
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994395295
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1424994395301
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994395404
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994398890
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994399026
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994400314
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994401759
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994401863
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994402235
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994402833
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1424994453455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994453651
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994455205
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994455437
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994456117
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994720147
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994720253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994721882
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1424994724265
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994728002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994753567
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994759295
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424994805910
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424994806352
