what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425154061696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425154064665
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425154064760
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425154064771
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425154065055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425154065224
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425154065933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425154071046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1425154075808
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425154077165
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425154085469
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425154085484
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425154085791
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425154085984
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425154086597
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425154094577
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1425154099400
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425154101438
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1425154107911
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425154109509
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1425154167848
