what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1424990472382
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1424990472442
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1424990472481
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1424990473537
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990476199
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990478433
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1424990478502
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1424990480006
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424990499614
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424990499626
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990499878
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990510301
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990526230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990529515
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990529579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990529887
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990532634
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424990532799
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424990532817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990533453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990540908
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990542944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990557120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990557877
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990559974
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424990578842
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424990578855
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990579331
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990600597
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990609669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990649826
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1424990783927
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424990878556
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424990878576
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990879073
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990905275
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990914254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990916271
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424990916379
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424990916403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990916881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990927180
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424990937412
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1424990937428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990937943
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990958713
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424990969433
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424992212739
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424992214165
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424992219106
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424992268781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1424992288120
