what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155465154
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155465306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155466392
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155467591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155467591
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155467693
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155468721
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155469817
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155469819
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155469920
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155470936
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155472045
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155472046
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155472148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155473239
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155474531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155474532
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155474633
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155475791
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155476829
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155476830
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155476934
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155478031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155499337
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1425155521714
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1425155522098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1425155522484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1425155522825
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1425155523219
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155524933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155708405
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1425155765689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425155767048
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155909782
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155909791
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155910079
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155910280
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155910943
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155914607
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155950479
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155950490
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155950756
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155950942
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155951658
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155958421
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155994383
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155994396
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155994689
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155994881
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425155995560
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425155999102
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156021030
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156021042
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156021325
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156021527
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156022205
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156054858
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156123355
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156211594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156231871
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156257955
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1425156258629
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156267069
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156267083
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156267355
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156267553
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156268261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156272535
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156280222
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156280235
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156280518
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156280679
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156281399
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156290943
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156304046
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156304058
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156304338
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156304511
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156305174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156310278
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1425156315691
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425156317000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1425156320913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425156323273
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156324866
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156324878
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156325179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156325381
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156326030
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156331488
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156351831
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156352857
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156352857
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156352959
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156353856
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156354922
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156354923
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156355025
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156355888
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156356911
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156356913
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156356914
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156357017
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156357388
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156387391
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156413745
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156414920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156414924
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156415024
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156416316
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156417781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156417795
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156417884
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156419325
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156420408
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156420410
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156420512
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156421450
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156422635
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156422637
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156422739
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156423779
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156424769
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156425949
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156427274
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1425156430856
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425156433978
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156437487
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156437690
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156438321
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156451912
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156470426
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156494025
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1425156541136
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1425156550043
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425156552043
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425156578727
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425156580027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425156580579
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156582113
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156582123
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156582389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156582558
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425156583226
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425156593730
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425156595599
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425156596985
