what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1426788852755
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1426788852756
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1426788852756
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1426788852757
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1426788852757
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1426788852758
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1426788852758
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1426788852759
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1426788852759
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1426788852761
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1426788852762
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1426788852763
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1426788852764
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1426788852764
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1426788852766
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1426788852767
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1426788852768
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1426788852768
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1426788852768
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1426788852769
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1426788852770
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1426788852771
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1426788852771
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1426788852772
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1426788852773
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1426788852774
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1426788852774
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1426788852775
started,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1426788852775
os,sysinfo,,,"macosx",1426788852777
arch,sysinfo,,,"x86",1426788852777
ws,sysinfo,,,"cocoa",1426788852777
locale,sysinfo,,,"en_US",1426788852777
processors,sysinfo,,,"4",1426788852777
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1426788852777
java.runtime.version,sysinfo,,,"1.6.0_65-b14-466.1-11M4716",1426788852777
java.specification.name,sysinfo,,,"Java Platform API Specification",1426788852777
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1426788852777
java.specification.version,sysinfo,,,"1.6",1426788852777
java.vendor,sysinfo,,,"Apple Inc.",1426788852777
java.version,sysinfo,,,"1.6.0_65",1426788852777
java.vm.info,sysinfo,,,"mixed mode",1426788852777
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1426788852777
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1426788852777
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1426788852777
java.vm.specification.version,sysinfo,,,"1.0",1426788852777
java.vm.vendor,sysinfo,,,"Apple Inc.",1426788852777
java.vm.version,sysinfo,,,"20.65-b04-466.1",1426788852777
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1426788853789
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426788854018
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426788857240
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426788861722
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426788864930
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426788868539
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426788882989
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1426788883012
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1426788883026
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1426788883073
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1426788883097
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1426788883220
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1426788883403
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1426788883428
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1426788883469
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1426788883541
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1426788883542
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1426788884408
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426788886596
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426788920113
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1426788923963
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1426788928172
closed,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1426788928179
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1426788930464
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1426788930464
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1426788932213
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1426788932256
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1426788932256
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1426788933573
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1426788933573
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426788938669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426788945075
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1426788945125
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1426788945158
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1426788945173
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426788950311
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426788988120
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789005909
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789006675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789013318
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1426789013999
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789014206
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1426789014694
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1426789017677
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1426789017781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789017979
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1426789018072
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789020597
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789020862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789022902
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1426789022990
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1426789022990
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789027160
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789029965
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1426789029967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789032669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789046799
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1426789046875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789051050
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789060780
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1426789072083
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1426789072135
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1426789076242
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789076418
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1426789077148
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1426789078904
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1426789079008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789079106
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789079930
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789080196
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1426789083385
started,bundle,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui",1426789083391
started,bundle,org.eclipse.ui.cheatsheets,3.4.0.v20100427,"org.eclipse.ui.cheatsheets",1426789083547
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1426789083553
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1426789083704
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789091127
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1426789092494
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1426789092938
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1426789092945
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1426789093035
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1426789093036
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1426789093037
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1426789093039
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1426789093039
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1426789093041
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1426789093042
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1426789093044
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1426789093044
stopped,bundle,edu.stanford.cs106,1.0.0,"edu.stanford.cs106",1426789093044
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1426789093044
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1426789093044
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1426789093046
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1426789093046
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1426789093048
stopped,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1426789093048
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1426789093049
