what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1425145812252
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425145815947
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425145840781
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425145840792
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425145841055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425145841219
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425145841895
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425145847858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425145847916
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425145847962
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425145867140
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425145867151
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425145867317
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425145868989
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1425145884556
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425145887199
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425145913349
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425145915092
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425145919008
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425145925446
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425145931543
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425145938077
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1425145940924
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1425145941740
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425145945123
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1425145947256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1425145949384
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425145952664
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425145952676
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425145952948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425145953115
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425145953866
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425145968910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425145968962
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425145969050
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425146000988
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425146000999
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425146001258
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425146001426
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425146002151
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425146008783
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1425146008829
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425146008887
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425146019261
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425146019271
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1425146019545
